32334 ,	,+CLB
   1 ê-kî-wiyâhtamâhk	PV/e+PV/ki+wiyâhtam+V+TI+Cnj+1Pl
   1 ê-kî-wiyistahamâhk	ê-kî-wiyistahamâhk+?
   1 ê-kî-wiyisimât	ê-kî-wiyisimât+?
   1 ê-kî-wiyisamâsocik	PV/e+PV/ki+wiyisamâsow+V+AI+Cnj+3Pl
   1 ê-kî-wiyipayihcikêt	PV/e+PV/ki+wiyipayihcikêw+V+AI+Cnj+3Sg
   1 ê-kî-wiyinot	PV/e+PV/ki+wiyinow+V+AI+Cnj+3Sg
   1 ê-kî-wiyinocik	PV/e+PV/ki+wiyinow+V+AI+Cnj+3Pl
   1 ê-kî-wiyikahahk	ê-kî-wiyikahahk+?
   1 ê-kî-wiyatahwât	PV/e+PV/ki+wiyatahwêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-wiyaskinahimak	PV/e+PV/ki+wiyaskinahêw+V+TA+Cnj+1Sg+4Sg/PlO
   1 ê-kî-wiyasiwêhkâniwit	PV/e+PV/ki+wiyasiwêhkâniwiw+V+AI+Cnj+3Sg
   1 ê-kî-wiyasiwâtahkik	PV/e+PV/ki+wiyasiwâtam+V+TI+Cnj+3Pl
   1 ê-kî-wiyanihât	PV/e+PV/ki+wiyanihêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-wiyanihtâkêwiht	ê-kî-wiyanihtâkêwiht+?
   1 ê-kî-wiyahpitâcik	PV/e+PV/ki+wiyahpitêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-wiyahpicikêyân	PV/e+PV/ki+wiyahpicikêw+V+AI+Cnj+1Sg
   1 ê-kî-wiyahpicikêcik	PV/e+PV/ki+wiyahpicikêw+V+AI+Cnj+3Pl
   1 ê-kî-wihât	ê-kî-wihât+?
   1 ê-kî-wayawîwêpinât	ê-kî-wayawîwêpinât+?
   1 ê-kî-wayawît	PV/e+PV/ki+wayawîw+V+AI+Cnj+3Sg
   1 ê-kî-wayawîpitamân	PV/e+PV/ki+wayawîpitam+V+TI+Cnj+1Sg
   1 ê-kî-wayawîpakitinât	ê-kî-wayawîpakitinât+?
   1 ê-kî-wayawîpahtât	PV/e+PV/ki+wayawîpahtâw+V+AI+Cnj+3Sg
   1 ê-kî-wayawîcik	PV/e+PV/ki+wayawîw+V+AI+Cnj+3Pl
   1 ê-kî-wawîyîcik	ê-kî-wawîyîcik+?
   1 ê-kî-wawêyîhacik	PV/e+PV/ki+wawêyîhêw+V+TA+Cnj+2Sg+3PlO
   1 ê-kî-wawêyiyâhk	ê-kî-wawêyiyâhk+?
   1 ê-kî-wawêsihât	ê-kî-wawêsihât+?
   1 ê-kî-wawânêyihtahk	PV/e+PV/ki+wawânêyihtam+V+TI+Cnj+3Sg
   1 ê-kî-wawânaskêhtât	PV/e+PV/ki+wawânaskêhtâw+V+TI+Cnj+3Sg
   1 ê-kî-wawiyatêyimâyâhk	PV/e+PV/ki+wawiyatêyimêw+V+TA+Cnj+1Pl+3SgO
   1 ê-kî-wawiyatêyihtamân	PV/e+PV/ki+wawiyatêyihtam+V+TI+Cnj+1Sg
   1 ê-kî-wawiyatêyihtamâhk	PV/e+PV/ki+wawiyatêyihtam+V+TI+Cnj+1Pl
   1 ê-kî-wawiyat-~-wawiyasipayik	ê-kî-wawiyat-~-wawiyasipayik+?
   1 ê-kî-waskawiyân	ê-kî-waskawiyân+?
   1 ê-kî-wanâhit	PV/e+PV/ki+wanâhêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-waniskâcik	PV/e+PV/ki+waniskâw+V+AI+Cnj+3Pl
   1 ê-kî-wanisiniyân	PV/e+PV/ki+wanisin+V+AI+Cnj+1Sg
   1 ê-kî-wanisihkik	PV/e+PV/ki+wanisin+V+AI+Cnj+3Pl
   1 ê-kî-wanikiskisit	PV/e+PV/ki+wanikiskisiw+V+AI+Cnj+3Sg
   1 ê-kî-wanihâyâhk	PV/e+PV/ki+wanihêw+V+TA+Cnj+1Pl+3SgO
   1 ê-kî-wanihât	PV/e+PV/ki+wanihêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-wanihtâyân	PV/e+PV/ki+wanihtâw+V+TI+Cnj+1Sg
   1 ê-kî-wanihtâyâhk	PV/e+PV/ki+wanihtâw+V+TI+Cnj+1Pl
   1 ê-kî-wanihtâcik	PV/e+PV/ki+wanihtâw+V+TI+Cnj+3Pl
   1 ê-kî-wanihikêt	PV/e+PV/ki+wanihikêw+V+AI+Cnj+3Sg
   1 ê-kî-wanihikaw	ê-kî-wanihikaw+?
   1 ê-kî-wa-wîtapimakik	PV/e+PV/ki+RdplW+wîtapimêw+V+TA+Cnj+1Sg+3PlO
   1 ê-kî-wa-wîcêwak	PV/e+PV/ki+RdplW+wîcêwêw+V+TA+Cnj+1Sg+3SgO
   1 ê-kî-wa-wîcihikowisiyân	PV/e+PV/ki+RdplW+wîcihikowisiw+V+AI+Cnj+1Sg
   1 ê-kî-wa-wîc-îyinîyân	ê-kî-wa-wîc-îyinîyân+?
   1 ê-kî-wa-wîc-âyâmâyâhk	PV/e+PV/ki+RdplW+wîc-âyâmêw+V+TA+Cnj+1Pl+3SgO
   1 ê-kî-wa-wîc-âyâmak	PV/e+PV/ki+RdplW+wîc-âyâmêw+V+TA+Cnj+1Sg+3SgO
   1 ê-kî-wa-wâpamak	PV/e+PV/ki+RdplW+wâpamêw+V+TA+Cnj+1Sg+3SgO
   1 ê-kî-wa-wâpahtohk	ê-kî-wa-wâpahtohk+?
   1 ê-kî-wa-wiyipayihtâcik	ê-kî-wa-wiyipayihtâcik+?
   1 ê-kî-wa-osîhtâyan	ê-kî-wa-osîhtâyan+?
   1 ê-kî-wa-ohpikihât	ê-kî-wa-ohpikihât+?
   1 ê-kî-tôtâkoyâhkik	PV/e+PV/ki+tôtawêw+V+TA+Cnj+3Pl+1PlO
   1 ê-kî-tôtâkocik	PV/e+PV/ki+tôtawêw+V+TA+Cnj+4Sg/Pl+3PlO
   1 ê-kî-tôtawâcik	PV/e+PV/ki+tôtawêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-tôtamôhihcik	PV/e+PV/ki+tôtamôhêw+V+TA+Cnj+X+3PlO
   1 ê-kî-tôtamâsot	PV/e+PV/ki+tôtamâsow+V+AI+Cnj+3Sg
   1 ê-kî-tôtaman	PV/e+PV/ki+tôtam+V+TI+Cnj+2Sg
   1 ê-kî-têpwâtikot	PV/e+PV/ki+têpwâtêw+V+TA+Cnj+4Sg/Pl+3SgO
   1 ê-kî-têpwâtikawiyân	PV/e+PV/ki+têpwâtêw+V+TA+Cnj+X+1SgO
   1 ê-kî-têpwâ	ê-kî-têpwâ+?
   1 ê-kî-têpipayihk	PV/e+PV/ki+têpipayiw+V+AI+Cnj+X
   1 ê-kî-têhtastâcik	PV/e+PV/ki+têhtastâw+V+TI+Cnj+3Pl
   1 ê-kî-têhtapit	PV/e+PV/ki+têhtapiw+V+AI+Cnj+3Sg
   1 ê-kî-tâsahikâkêcik	PV/e+PV/ki+tâsahikâkêw+V+AI+Cnj+3Pl
   1 ê-kî-tâsahahk	PV/e+PV/ki+tâsaham+V+TI+Cnj+3Sg
   1 ê-kî-tâpiskahkik	PV/e+PV/ki+tâpiskam+V+TI+Cnj+3Pl
   1 ê-kî-tâpakwêyân	PV/e+PV/ki+tâpakwêw+V+AI+Cnj+1Sg
   1 ê-kî-tâpakwêcik	PV/e+PV/ki+tâpakwêw+V+AI+Cnj+3Pl
   1 ê-kî-tâh-têpwêt	PV/e+PV/ki+RdplS+têpwêw+V+AI+Cnj+3Sg
   1 ê-kî-tâh-takahkâpâwêki	PV/e+PV/ki+RdplS+takahkâpâwêw+V+II+Cnj+3Pl
   1 ê-kî-tâh-takahkisîhât	PV/e+PV/ki+RdplS+takahkisîhêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-tâh-takahkikwâtahk	ê-kî-tâh-takahkikwâtahk+?
   1 ê-kî-titipinahk	PV/e+PV/ki+titipinam+V+TI+Cnj+3Sg
   1 ê-kî-titipihtik	PV/e+PV/ki+titipihtin+V+II+Cnj+3Sg
   1 ê-kî-tipêyim-~	ê-kî-tipêyim-~+?
   1 ê-kî-tipêyihtamahk	PV/e+PV/ki+tipêyihtam+V+TI+Cnj+12Pl
   1 ê-kî-tipêyihtahkik	PV/e+PV/ki+tipêyihtam+V+TI+Cnj+3Pl
   1 ê-kî-tipiskahk	PV/e+PV/ki+tipiskam+V+AI+Cnj+3Sg
   1 ê-kî-tipahikêstamâsoyâhk	PV/e+PV/ki+tipahikêstamâsow+V+AI+Cnj+1Pl
   1 ê-kî-tipahamân	PV/e+PV/ki+tipaham+V+TI+Cnj+1Sg
   1 ê-kî-tipahamâkawiyâhk	PV/e+PV/ki+tipahamawêw+V+TA+Cnj+X+1PlO
   1 ê-kî-tipahamâht	PV/e+PV/ki+tipahamawêw+V+TA+Cnj+X+3SgO
   1 ê-kî-tipahamawicik	PV/e+PV/ki+tipahamawêw+V+TA+Cnj+3Pl+1SgO
   1 ê-kî-timikonik	PV/e+PV/ki+timikoniw+V+II+Cnj+3Sg
   1 ê-kî-tatâyawâk	PV/e+PV/ki+tatâyawâw+V+II+Cnj+3Sg
   1 ê-kî-tatâstapikwâsot	ê-kî-tatâstapikwâsot+?
   1 ê-kî-tasôhâcik	PV/e+PV/ki+tasôhêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-taswêkâhkatosamihk	ê-kî-taswêkâhkatosamihk+?
   1 ê-kî-tasi-kakwâtakihtât	PV/e+PV/ki+PV/tasi+kakwâtakihtâw+V+TI+Cnj+3Sg
   1 ê-kî-takwâcihoyâhk	ê-kî-takwâcihoyâhk+?
   1 ê-kî-takopayit	PV/e+PV/ki+takopayiw+V+AI+Cnj+3Sg
   1 ê-kî-takohtêyân	PV/e+PV/ki+takohtêw+V+AI+Cnj+1Sg
   1 ê-kî-takohtahikocik	PV/e+PV/ki+takohtahêw+V+TA+Cnj+4Sg/Pl+3PlO
   1 ê-kî-takahkêyimâcik	PV/e+PV/ki+takahkêyimêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-takahkêyihtamân	PV/e+PV/ki+takahkêyihtam+V+TI+Cnj+1Sg
   1 ê-kî-takahkêyihtahkik	PV/e+PV/ki+takahkêyihtam+V+TI+Cnj+3Pl
   1 ê-kî-takahkisîhtât	PV/e+PV/ki+takahkisîhtâw+V+TI+Cnj+3Sg
   1 ê-kî-takahkipahtâcik	PV/e+PV/ki+takahkipahtâw+V+AI+Cnj+3Pl
   1 ê-kî-takahkinâkwahk	PV/e+PV/ki+takahkinâkwan+V+II+Cnj+3Sg
   1 ê-kî-takahkihtâkwahk	PV/e+PV/ki+takahkihtâkwan+V+II+Cnj+3Sg
   1 ê-kî-takahkahpicikêt	PV/e+PV/ki+takahkahpicikêw+V+AI+Cnj+3Sg
   1 ê-kî-takahk-îskwêwit	ê-kî-takahk-îskwêwit+?
   1 ê-kî-takahk-~-takahkahcikêhk	ê-kî-takahk-~-takahkahcikêhk+?
   1 ê-kî-tahkâk	PV/e+PV/ki+tahkâw+V+II+Cnj+3Sg
   1 ê-kî-tahkoskêyit	PV/e+PV/ki+tahkoskêw+V+AI+Cnj+4Sg/Pl
   1 ê-kî-tahkopitamâhk	PV/e+PV/ki+tahkopitam+V+TI+Cnj+1Pl
   1 ê-kî-tahkonâcik	PV/e+PV/ki+tahkonêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-tahkonamâhk	PV/e+PV/ki+tahkonam+V+TI+Cnj+1Pl
   1 ê-kî-tahkonahkik	PV/e+PV/ki+tahkonam+V+TI+Cnj+3Pl
   1 ê-kî-tahkon	ê-kî-tahkon+?
   1 ê-kî-tahko-~-tahkoskêt	ê-kî-tahko-~-tahkoskêt+?
   1 ê-kî-tahkipayicik	PV/e+PV/ki+tahkipayiw+V+AI+Cnj+3Pl
   1 ê-kî-tahkamât	PV/e+PV/ki+tahkamêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-ta-tôtamâsohk	PV/e+PV/ki+RdplW+tôtamâsow+V+AI+Cnj+X
   1 ê-kî-ta-tôtahkik	PV/e+PV/ki+RdplW+tôtam+V+TI+Cnj+3Pl
   1 ê-kî-ta-tôtahk	PV/e+PV/ki+RdplW+tôtam+V+TI+Cnj+3Sg
   1 ê-kî-ta-tahkiskâht	PV/e+PV/ki+RdplW+tahkiskawêw+V+TA+Cnj+X+3SgO
   1 ê-kî-sôniyâwokimâwit	ê-kî-sôniyâwokimâwit+?
   1 ê-kî-sôniyâhkêyân	PV/e+PV/ki+sôniyâhkêw+V+AI+Cnj+1Sg
   1 ê-kî-sôniyâhkâkêyâhk	PV/e+PV/ki+sôniyâhkâkêw+V+AI+Cnj+1Pl
   1 ê-kî-sôniyâhkâkêhk	PV/e+PV/ki+sôniyâhkâkêw+V+AI+Cnj+X
   1 ê-kî-sôhkêyimak	PV/e+PV/ki+sôhkêyimêw+V+TA+Cnj+1Sg+3SgO
   1 ê-kî-sôhkêsimohk	PV/e+PV/ki+sôhkêsimow+V+AI+Cnj+X
   1 ê-kî-sôhkêkotêk	PV/e+PV/ki+sôhkêkotêw+V+II+Cnj+3Sg
   1 ê-kî-sôhkâtisit	PV/e+PV/ki+sôhkâtisiw+V+AI+Cnj+3Sg
   1 ê-kî-sôhkisit	PV/e+PV/ki+sôhkisiw+V+AI+Cnj+3Sg
   1 ê-kî-sôhki-astamâht	PV/e+PV/ki+PV/sohki+astamawêw+V+TA+Cnj+X+3SgO
   1 ê-kî-sôhkacicik	PV/e+PV/ki+sôhkaciw+V+AI+Cnj+3Pl
   1 ê-kî-sôhk[i]-âtâmêyimiht	ê-kî-sôhk[i]-âtâmêyimiht+?
   1 ê-kî-sîpahikâsocik	ê-kî-sîpahikâsocik+?
   1 ê-kî-sîkâwit	PV/e+PV/ki+sîkâwiw+V+AI+Cnj+3Sg
   1 ê-kî-sîkopitimâyâhk	PV/e+PV/ki+sîkopitêw+V+TA+Cnj+1Pl+4Sg/PlO
   1 ê-kî-sîkipêstâyik	PV/e+PV/ki+sîkipêstâw+V+II+Cnj+4Sg
   1 ê-kî-sîkinamihk	PV/e+PV/ki+sîkinam+V+TI+Cnj+X+3Sg
   1 ê-kî-sîkahâhtâht	PV/e+PV/ki+sîkahâhtawêw+V+TA+Cnj+X+3SgO
   1 ê-kî-sîkahoyâhk	PV/e+PV/ki+sîkahwêw+V+TA+Cnj+2Pl+1PlO
   1 ê-kî-sîhtwâhpisosoyâhk	ê-kî-sîhtwâhpisosoyâhk+?
   1 ê-kî-sîhkiskâkocik	PV/e+PV/ki+sîhkiskawêw+V+TA+Cnj+4Sg/Pl+3PlO
   1 ê-kî-sîhkiskawit	PV/e+PV/ki+sîhkiskawêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-sîhkimât	PV/e+PV/ki+sîhkimêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-sîhkimit	PV/e+PV/ki+sîhkimêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-sêskisiyan	PV/e+PV/ki+sêskisiw+V+AI+Cnj+2Sg
   1 ê-kî-sêkahoyân	ê-kî-sêkahoyân+?
   1 ê-kî-sâsâkihtiyân	PV/e+PV/ki+sâsâkihtiw+V+AI+Cnj+1Sg
   1 ê-kî-sâsâkihtiyâhk	PV/e+PV/ki+sâsâkihtiw+V+AI+Cnj+1Pl
   1 ê-kî-sâskatwêmot	ê-kî-sâskatwêmot+?
   1 ê-kî-sâkâkonêsit	ê-kî-sâkâkonêsit+?
   1 ê-kî-sâkohit	PV/e+PV/ki+sâkohêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-sâkitocik	PV/e+PV/ki+sâkitow+V+AI+Cnj+3Pl
   1 ê-kî-sâkihtâyân	PV/e+PV/ki+sâkihtâw+V+TI+Cnj+1Sg
   1 ê-kî-sâkihtât	PV/e+PV/ki+sâkihtâw+V+TI+Cnj+3Sg
   1 ê-kî-sâkihikawiyâhk	PV/e+PV/ki+sâkihêw+V+TA+Cnj+X+1PlO
   1 ê-kî-sâkihi	ê-kî-sâkihi+?
   1 ê-kî-sâki-~	ê-kî-sâki-~+?
   1 ê-kî-sâkaskinahtâyâhk	PV/e+PV/ki+sâkaskinahtâw+V+TI+Cnj+1Pl
   1 ê-kî-sâ-sôpahtahk	ê-kî-sâ-sôpahtahk+?
   1 ê-kî-sâ-sîpiyit	ê-kî-sâ-sîpiyit+?
   1 ê-kî-sâ-sîpihkêyihtahkik	ê-kî-sâ-sîpihkêyihtahkik+?
   1 ê-kî-sisoskiwakinikêt	PV/e+PV/ki+sisoskiwakinikêw+V+AI+Cnj+3Sg
   1 ê-kî-sisoskiwakinikâtêki	PV/e+PV/ki+sisoskiwakinikâtêw+V+II+Cnj+3Pl
   1 ê-kî-sisoskiwakinamâsot	PV/e+PV/ki+sisoskiwakinamâsow+V+AI+Cnj+3Sg
   1 ê-kî-sisoskiwakinamihk	PV/e+PV/ki+sisoskiwakinam+V+TI+Cnj+X+3Sg
   1 ê-kî-sisoskiwakinahk	PV/e+PV/ki+sisoskiwakinam+V+TI+Cnj+3Sg
   1 ê-kî-sisopêkahamân	PV/e+PV/ki+sisopêkaham+V+TI+Cnj+1Sg
   1 ê-kî-sisopêkahaman	PV/e+PV/ki+sisopêkaham+V+TI+Cnj+2Sg
   1 ê-kî-sipwêpicicik	PV/e+PV/ki+sipwêpiciw+V+AI+Cnj+3Pl
   1 ê-kî-sipwêpayiyâhk	PV/e+PV/ki+sipwêpayiw+V+AI+Cnj+1Pl
   1 ê-kî-sipwêpayit	PV/e+PV/ki+sipwêpayiw+V+AI+Cnj+3Sg
   1 ê-kî-sipwêpayihk	PV/e+PV/ki+sipwêpayiw+V+AI+Cnj+X
   1 ê-kî-sipwêpahtâyân	PV/e+PV/ki+sipwêpahtâw+V+AI+Cnj+1Sg
   1 ê-kî-sipwêpahtâyâhk	PV/e+PV/ki+sipwêpahtâw+V+AI+Cnj+1Pl
   1 ê-kî-sipwêhtêyân	PV/e+PV/ki+sipwêhtêw+V+AI+Cnj+1Sg
   1 ê-kî-sipwêhtêyâhk	PV/e+PV/ki+sipwêhtêw+V+AI+Cnj+1Pl
   1 ê-kî-sipwêhtêyit	PV/e+PV/ki+sipwêhtêw+V+AI+Cnj+4Sg/Pl
   1 ê-kî-sipwêhtatâyit	PV/e+PV/ki+sipwêhtatâw+V+TI+Cnj+4Sg/Pl
   1 ê-kî-sipwê-mostohtêcik	PV/e+PV/ki+PV/sipwe+mostohtêw+V+AI+Cnj+3Pl
   1 ê-kî-simâkanisihkâniwiyit	PV/e+PV/ki+simâkanisihkâniwiw+V+AI+Cnj+4Sg/Pl
   1 ê-kî-simatapit	PV/e+PV/ki+simatapiw+V+AI+Cnj+3Sg
   1 ê-kî-sawêyimit	PV/e+PV/ki+sawêyimêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-sasîpikiskisit	ê-kî-sasîpikiskisit+?
   1 ê-kî-sasîpihtamân	PV/e+PV/ki+sasîpihtam+V+TI+Cnj+1Sg
   1 ê-kî-saskahamihk	PV/e+PV/ki+saskaham+V+TI+Cnj+X+3Sg
   1 ê-kî-sakahpitât	PV/e+PV/ki+sakahpitêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-sakahamâhk	PV/e+PV/ki+sakaham+V+TI+Cnj+1Pl
   1 ê-kî-sa-sôniyâhkêsit	PV/e+PV/ki+RdplW+sôniyâhkêsiw+V+AI+Cnj+3Sg
   1 ê-kî-pôtâtamâhk	PV/e+PV/ki+pôtâtam+V+TI+Cnj+1Pl
   1 ê-kî-pôtâtahkik	PV/e+PV/ki+pôtâtam+V+TI+Cnj+3Pl
   1 ê-kî-pôskwatahwât	PV/e+PV/ki+pôskwatahwêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pôskopitahk	PV/e+PV/ki+pôskopitam+V+TI+Cnj+3Sg
   1 ê-kî-pôsiyâhk	PV/e+PV/ki+pôsiw+V+AI+Cnj+1Pl
   1 ê-kî-pôsihikawiyân	PV/e+PV/ki+pôsihêw+V+TA+Cnj+X+1SgO
   1 ê-kî-pôsi-pimwasinêt	ê-kî-pôsi-pimwasinêt+?
   1 ê-kî-pôni-pimâtisicik	PV/e+PV/ki+pôni-pimâtisiw+V+AI+Cnj+3Pl
   1 ê-kî-pôni-minihkwêyân	PV/e+PV/ki+PV/poni+minihkwêw+V+AI+Cnj+1Sg
   1 ê-kî-pônamâhk	PV/e+PV/ki+pônam+V+TI+Cnj+1Pl
   1 ê-kî-pônamihk	PV/e+PV/ki+pônam+V+TI+Cnj+X+3Sg
   1 ê-kî-pônahk	PV/e+PV/ki+pônam+V+TI+Cnj+3Sg
   1 ê-kî-pîwêyimot	PV/e+PV/ki+pîwêyimow+V+AI+Cnj+3Sg
   1 ê-kî-pîwênât	PV/e+PV/ki+pîwênêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pîmahamân	PV/e+PV/ki+pîmaham+V+TI+Cnj+1Sg
   1 ê-kî-pîkopitamâkocik	PV/e+PV/ki+pîkopitamawêw+V+TA+Cnj+4Sg/Pl+3PlO
   1 ê-kî-pîkopicikêhât	PV/e+PV/ki+pîkopicikêhêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pîkonit	PV/e+PV/ki+pîkonêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-pîkonikêyan	PV/e+PV/ki+pîkonikêw+V+AI+Cnj+2Sg
   1 ê-kî-pîkiskwâtakik	PV/e+PV/ki+pîkiskwâtêw+V+TA+Cnj+1Sg+3PlO
   1 ê-kî-pîkiskwâtak	PV/e+PV/ki+pîkiskwâtêw+V+TA+Cnj+1Sg+3SgO
   1 ê-kî-pîkiskwâtahk	PV/e+PV/ki+pîkiskwâtam+V+TI+Cnj+3Sg
   1 ê-kî-pîkinisamâhk	PV/e+PV/ki+pîkinisam+V+TI+Cnj+1Pl
   1 ê-kî-pîhtâsot	PV/e+PV/ki+pîhtâsow+V+AI+Cnj+3Sg
   1 ê-kî-pîhtâpâwahak	PV/e+PV/ki+pîhtâpâwahêw+V+TA+Cnj+1Sg+3SgO
   1 ê-kî-pîhtwâskit	PV/e+PV/ki+pîhtwâskiw+V+AI+Cnj+3Sg
   1 ê-kî-pîhtwâkêcik	PV/e+PV/ki+pîhtwâkêw+V+AI+Cnj+3Pl
   1 ê-kî-pîhtoswâcik	PV/e+PV/ki+pîhtoswêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-pîhtokêt	PV/e+PV/ki+pîhtokêw+V+AI+Cnj+3Sg
   1 ê-kî-pîhtokêcik	PV/e+PV/ki+pîhtokêw+V+AI+Cnj+3Pl
   1 ê-kî-pîhtokwêt	PV/e+PV/ki+pîhtokwêw+V+AI+Cnj+3Sg
   1 ê-kî-pîhtokwatâyâhk	PV/e+PV/ki+pîhtokwatâw+V+TI+Cnj+1Pl
   1 ê-kî-pîhtokwatamâkêcik	PV/e+PV/ki+pîhtokwatamâkêw+V+AI+Cnj+3Pl
   1 ê-kî-pîhtokatât	PV/e+PV/ki+pîhtokatâw+V+TI+Cnj+3Sg
   1 ê-kî-pîhtikwêyâhk	PV/e+PV/ki+pîhtikwêw+V+AI+Cnj+1Pl
   1 ê-kî-pîhtikwatâhk	PV/e+PV/ki+pîhtikwatâw+V+TI+Cnj+X
   1 ê-kî-pîhtawêkwâtahk	PV/e+PV/ki+pîhtawêkwâtam+V+TI+Cnj+3Sg
   1 ê-kî-pêyakôsâniwiyân	ê-kî-pêyakôsâniwiyân+?
   1 ê-kî-pêtâyân-~	ê-kî-pêtâyân-~+?
   1 ê-kî-pêtâyân	PV/e+PV/ki+pêtâw+V+TI+Cnj+1Sg
   1 ê-kî-pêtamawakik	PV/e+PV/ki+pêtamawêw+V+TA+Cnj+1Sg+3PlO
   1 ê-kî-pêsîkawiyêk	PV/e+PV/ki+pêsiwêw+V+TA+Cnj+X+2PlO
   1 ê-kî-pêsiwât	PV/e+PV/ki+pêsiwêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pêsiwâcik	PV/e+PV/ki+pêsiwêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-pêsiwakik	PV/e+PV/ki+pêsiwêw+V+TA+Cnj+1Sg+3PlO
   1 ê-kî-pêhtâkosicik	PV/e+PV/ki+pêhtâkosiw+V+AI+Cnj+3Pl
   1 ê-kî-pêhtawâyâhk	PV/e+PV/ki+pêhtawêw+V+TA+Cnj+1Pl+3SgO
   1 ê-kî-pêhtawâcik	PV/e+PV/ki+pêhtawêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-pêhtamâhk	PV/e+PV/ki+pêhtam+V+TI+Cnj+1Pl
   1 ê-kî-pêhot	PV/e+PV/ki+pêhow+V+AI+Cnj+3Sg
   1 ê-kî-pêcipahkêkinwêt	ê-kî-pêcipahkêkinwêt+?
   1 ê-kî-pêcikêcik	PV/e+PV/ki+pêcikêw+V+AI+Cnj+3Pl
   1 ê-kî-pê-âmaciwêt	PV/e+PV/ki+PV/pe+âmaciwêw+V+AI+Cnj+3Sg
   1 ê-kî-pê-wîkimikoyâhkik	PV/e+PV/ki+PV/pe+wîkimêw+V+TA+Cnj+3Pl+1PlO
   1 ê-kî-pê-wîhtamâkoyâhk	PV/e+PV/ki+PV/pe+wîhtamawêw+V+TA+Cnj+3Sg+1PlO
   1 ê-kî-pê-wîhtamâkawiyâhk	PV/e+PV/ki+PV/pe+wîhtamawêw+V+TA+Cnj+X+1PlO
   1 ê-kî-pê-wîhtamawit	PV/e+PV/ki+PV/pe+wîhtamawêw+V+TA+Cnj+3Sg+1SgO
   1 ê-kî-pê-wîhtahkik	PV/e+PV/ki+PV/pe+wîhtam+V+TI+Cnj+3Pl
   1 ê-kî-pê-wîcêwât	PV/e+PV/ki+PV/pe+wîcêwêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pê-wîcihâcik	PV/e+PV/ki+PV/pe+wîcihêw+V+TA+Cnj+3Pl+4Sg/PlO
   1 ê-kî-pê-wîcihiwêyân	PV/e+PV/ki+PV/pe+wîcihiwêw+V+AI+Cnj+1Sg
   1 ê-kî-pê-wîcihikawiyâhk	PV/e+PV/ki+PV/pe+wîcihêw+V+TA+Cnj+X+1PlO
   1 ê-kî-pê-wîcihicik	PV/e+PV/ki+PV/pe+wîcihêw+V+TA+Cnj+3Pl+1SgO
   1 ê-kî-pê-wâpamât	PV/e+PV/ki+pê-wâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pê-wâpamakik	PV/e+PV/ki+pê-wâpamêw+V+TA+Cnj+1Sg+3PlO
   1 ê-kî-pê-wâpahtamâhk	PV/e+PV/ki+pê-wâpahtam+V+TI+Cnj+1Pl
   1 ê-kî-pê-wâh-wîcêwât	PV/e+PV/ki+PV/pe+RdplS+wîcêwêw+V+TA+Cnj+3Sg+4Sg/PlO
   1 ê-kî-pê-wiyâhtamâhk	PV/e+PV/ki+PV/pe+wiyâhtam+V+TI+Cnj+1Pl
   1 ê-kî-pê-wayawît	PV/e+PV/ki+pê-wayawîw+V+AI+Cnj+3Sg
   1 ê-kî-pê-tôtamân	PV/e+PV/ki+PV/pe+tôtam+V+TI+Cnj+1Sg
   1 ê-kî-pê-tôtamâhk	PV/e+PV/ki+PV/pe+tôtam+V+TI+Cnj+1Pl
   1 ê-kî-pê-tôtahkik	PV/e+PV/ki+PV/pe+tôtam+V+TI+Cnj+3Pl
