32334 ,	,+CLB
  71 êk	êk+?
  71 ê-kî	ê-kî+?
  71 nôhtâwiy	nôhtâwiy+N+A+D+Px1Sg+Sg
  71 namwâc	namwâc+?
  71 nama_wîhkâc	Iph+Neg
  71 --~	--~+?
  70 ê-wâpaniyik	PV/e+wâpan+V+II+Cnj+4Sg
  70 sipwêhtêwak	sipwêhtêw+V+AI+Ind+3Pl
  69 note	note+?
  68 ê-pîhtokêt	PV/e+pîhtokêw+V+AI+Cnj+3Sg
  68 âwiyak	âwiyak+?
  68 tânêhki	tânêhki+Ipc
  68 misatimwak	misatim+N+A+Pl
  68 isko	isko+Ipc
  68 cêskwa	cêskwa+Ipc
  68 awâsisa	awâsis+N+A+Obv
  68 a	a+?
  67 êkon	êkon+?
  67 wîstâwa	nîstâw+N+A+D+Px3Sg+Obv
  67 mostoswak	mostos+N+A+Pl
  67 mihta	mihti+N+I+Pl
  66 îta	îta+?
  65 omisimâw	omisimâw+N+A+Sg
  65 nisikos	nisikos+N+A+D+Px1Sg+Sg
  65 kâkikê	kâkikê+Ipc
  64 îtê	îtê+?
  64 wayawîtimihk	wayawîtimihk+Ipc
  64 itâw	itêw+V+TA+Ind+X+3SgO
  64 ayiwâk	ayiwâk+Ipc
  64 Minde	Minde+?
  63 êwakonik	êwakonik+?
  63 ê-ayât	PV/e+ayâw+V+AI+Cnj+3Sg
  63 wayawîw	wayawîw+V+AI+Ind+3Sg
  63 otawâsimisa	nitawâsimis+N+A+D+Px3Sg+Obv
  63 kâ-kîsikâk	PV/kaa+kîsikâw+V+II+Cnj+3Sg
  63 awîna	awîna+Ipc
  62 tahto-kîsikâw	tahto-kîsikâw+Ipc
  62 awâsis	awâsis+N+A+Sg
  61 ômis	ômis+?
  61 ôhkoma	ôhkoma+?
  61 ê-wâpahk	PV/e+wâpan+V+II+Cnj+3Sg
  61 ê-ispayik	PV/e+ispayiw+V+II+Cnj+3Sg
  61 wîwa	wîwa+N+A+D+Px3Sg+Obv
  61 nititêyihtên	itêyihtam+V+TI+Ind+1Sg
  61 mwêhci	mwêhci+Ipc
  61 ahaq	ahaq+?
  60 têpiyâhk	têpiyâhk+Ipc
  60 pita	pita+Ipc
  60 ohpimê	ohpimê+Ipc
  60 nisis	nisis+N+A+D+Px1Sg+Sg
  60 nikiskisin	kiskisiw+V+AI+Ind+1Sg
  60 I	Rom+Quant
  59 oskinîkiskwêwa	oskinîkiskwêw+N+A+Obv
  58 ê-sipwêhtêt	PV/e+sipwêhtêw+V+AI+Cnj+3Sg
  58 ê-itikot	PV/e+itêw+V+TA+Cnj+4Sg/Pl+3SgO
  58 ât[a	ât[a+?
  58 tâpiskôt	tâpiskôt+Ipc
  58 kâ-wâpahtahk	PV/kaa+wâpahtam+V+TI+Cnj+3Sg
  57 îs	îs+?
  57 ê-itât	PV/e+itêw+V+TA+Cnj+3Sg+4Sg/PlO
  57 in	in+?
  57 ayiwinisa	ayiwinisa+N+I+Pl
  56 wîtimwa	nîtim+N+A+D+Px3Sg+Obv
  56 pîhtokêw	pîhtokêw+V+AI+Ind+3Sg
  56 mêton	mêton+?
  56 mistikwa	mistik+N+A+Obv
  56 hm	hm+?
  55 îyikohk	îyikohk+?
  55 êyâpic	êyâpic+Ipc
  55 wiyâsa	wiyaw+N+I+D+Der/Dim+wiyaw+N+I+D+Px3Sg+Pl
